texto,prioridade
Uma criança machucou a perna na praça do bairro e precisa de atendimento médico. Alguém pode ajudar?,MEDIA
"Centro de saúde na Av. Sapopemba, nº 1950, enfrenta escassez de medicamentos essenciais. Aproximadamente 20 pacientes, incluindo crianças, afetados. Necessidade de reabastecimento urgente para garantir tratamento contínuo.",MEDIA
"Um morador idoso na Rua das Flores, São Paulo, está sem medicamentos essenciais. Ele precisa urgentemente de ajuda para conseguir seus remédios. A situação já afeta sua saúde desde ontem.",ALTA
Os estoques de comida estão baixando rápido no abrigo comunitário do bairro. Precisamos de doações urgentes para alimentar quem está lá.,ALTA
Tem um rapaz com dor de cabeça leve na praça do bairro. Alguém pode verificar se ele está bem?,BAIXA
"Na manhã de hoje, na estação de trem de Santo Amaro, a falta de ônibus está causando atrasos consideráveis para trabalhadores e estudantes. Alternativas de transporte são necessárias para regularizar o fluxo.",MEDIA
Precisamos de transporte urgente para idosos no asilo Vila Esperança. Eles estão sem condições de se deslocar e precisam de apoio imediato.,ALTA
"O parque comunitário do bairro está sem energia elétrica desde ontem à noite, impactando atividades noturnas e a segurança local. Solicito apoio para restabelecer a eletricidade o mais breve possível.",MEDIA
"O posto médico da Praça da Sé está sem equipe e sem insumos básicos para emergências graves. Aproximadamente 20 pacientes, incluindo crianças, sem atendimento adequado. Transporte médico necessário com urgência.",ALTA
"Na Avenida Dr. Arnaldo, próximo ao Hospital das Clínicas, há bloqueio de vias devido a deslizamento de terra, comprometendo acesso de ambulâncias e transporte público. Urgente necessidade de desobstrução para manter fluxo de veículos de emergência.",ALTA
Precisamos de socorro médico imediato! Criança inconsciente na Avenida Paulista!,ALTA
"A comunidade do Jardim Primavera enfrenta falta d'água há três dias, afetando a higiene e saúde dos moradores. É urgente a necessidade de fornecimento e reparo imediato. A situação se agrava com o calor intenso.",ALTA
"Na Unidade Básica de Saúde localizada na Avenida Paulista, nº 980, há falta de profissionais médicos para atender a crescente demanda de pacientes com sintomas gripais. Aproximadamente 30 indivíduos sem atendimento adequado.",MEDIA
Precisamos de transporte urgente para levar alimentos e remédios a famílias isoladas pela enchente no bairro Jardim Flores. Alguém pode ajudar com um carro ou caminhão?,ALTA
Um jovem com convulsão na praça central! Precisa de socorro urgente!,ALTA
"Na Rua Florença, próximo ao número 200, uma criança precisa de um curativo simples após uma pequena queda. O incidente ocorreu por volta das 15h de hoje. Familiares conseguem acompanhar, mas faltam materiais básicos.",BAIXA
"Uma mulher está tendo convulsões na entrada do supermercado, precisamos de ajuda médica urgente!",ALTA
"O bairro Jardim Paulista enfrenta um bloqueio total das vias devido a alagamentos intensos. Aproximadamente 50 moradores, incluindo crianças, estão sem transporte para refúgios seguros. Urge intervenção imediata para evacuação.",ALTA
Uma criança está com febre alta na creche Vila Esperança e ainda não conseguimos um médico para ajudar.,ALTA
Uma senhora está passando mal no mercado e precisa de atendimento médico.,MEDIA
"Um morador idoso do bairro não está bem e precisa de atendimento médico rápido, mas ainda não conseguimos um médico para ajudar. Qualquer apoio próximo é urgente!",ALTA
Preciso de transporte urgente para hospital! Carro ou ambulância indisponível!,ALTA
"Na Vila Mariana, próximo à Avenida Lins de Vasconcelos, há escassez crítica de suprimentos alimentares em um abrigo temporário, impactando 50 moradores. Necessidade urgente de reabastecimento para evitar agravamento da situação.",ALTA
Precisamos de transporte urgente para checar moradores isolados no bairro.,MEDIA
"Estou sem transporte para voltar para casa, preciso de uma carona urgente na estação.",BAIXA
"Uma criança está com febre alta no abrigo, precisa de remédios rápido.",MEDIA
"Um idoso precisa de medicação na Avenida Paulista, situação sob controle.",BAIXA
Precisamos de profissionais de saúde para prestar assistência a moradores com sintomas de gripe no centro comunitário da Vila Mariana.,MEDIA
"Precisamos de comida no abrigo da rua Silva, pessoas com fome urgente!",ALTA
Precisamos urgentemente de alimentos no centro comunitário do Jardim das Flores. Muitas famílias sem recursos e estoque acabando. Alguém pode ajudar?,ALTA
"Precisamos de carona para moradores sem carro até o posto de saúde Vila Nova, estão sem transporte para consultas agendadas.",BAIXA
"Na Vila Mariana, às 14h, uma senhora idosa precisa de assistência médica para uma consulta de rotina. Atenderesse pedido pode evitar complicações futuras de saúde.",BAIXA
O ônibus do bairro está parado e há um grupo de pessoas sem como voltar para casa. Precisamos de ajuda urgente com transporte na Avenida Principal.,ALTA
"Há necessidade de transporte adicional na Rua das Flores, Bairro Central, especialmente entre 18h e 20h. O fluxo de pessoas aumentou devido a eventos locais, mas não há urgência significativa no momento.",BAIXA
Uma mulher caiu na rua e precisa de ajuda médica imediatamente!,MEDIA
Urgente! Famílias no bairro X estão sem comida! Precisamos de ajuda imediata!,ALTA
Famílias estão sem comida na comunidade Jardim Brasil! Precisam de mantimentos urgente!,ALTA
"Famílias sem comida no bairro, precisamos de mantimentos urgentes para hoje!",ALTA
"Precisamos de transporte urgente para evacuar pessoas presas em área de risco, situação crítica!",ALTA
"Na região de Guaianases, Rua Manuel da Nobrega, nº 275, há escassez crítica de alimentos no abrigo local, impactando diretamente cerca de 80 pessoas, incluindo 15 crianças, com necessidade urgente de reposição de suprimentos.",ALTA
"Na Rua das Flores, às 8h, uma idosa precisa de atendimento médico urgente devido a uma queda. Ela está consciente, mas sente muita dor e não consegue se mover.",ALTA
"O centro comunitário no bairro de Santana está precisando de doações de alimentos não perecíveis, pois o estoque está diminuindo. Voluntários podem ajudar a repor as prateleiras antes do fim de semana.",MEDIA
"No bairro da Mooca, famílias necessitam de alimentos básicos. A situação foi observada nesta manhã e doações podem ser entregues no centro comunitário local. Seu apoio pode fazer a diferença.",MEDIA
